Waf: Entering directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Waf: Leaving directory `/home/anon/tarball/ns-allinone-3.35/ns-3.35/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.533s)
0.622766 0.00235999 6819 6861
0.624654 0.00188804 6861 6902
0.625598 0.000943959 6902 6943
0.679611 0.0540128 6943 6984
0.680555 0.000944018 6984 7025
0.682424 0.00186878 7025 7065
0.684784 0.00235999 7065 7105
0.686672 0.00188798 7105 7145
0.687616 0.000944018 7145 7185
0.741629 0.0540128 7185 7224
0.742573 0.000943959 7224 7263
0.74397 0.00139683 7263 7302
0.74633 0.00235999 7302 7341
0.748218 0.00188798 7341 7380
0.749162 0.000944018 7380 7418
0.803174 0.0540128 7418 7456
0.804118 0.000944018 7456 7494
0.805515 0.00139683 7494 7532
0.807875 0.00235999 7532 7570
0.809763 0.00188798 7570 7607
0.810707 0.000944018 7607 7644
0.86472 0.0540128 7644 7681
0.865664 0.000944018 7681 7718
0.867061 0.00139678 7718 7755
0.868005 0.000944018 7755 7792
0.869893 0.00188798 7792 7828
0.926285 0.056392 7828 6968
0.926757 0.000472009 6968 6432
0.927229 0.000472009 6432 5963
0.927701 0.000472009 5963 5628
0.928626 0.000924766 5628 5293
0.929098 0.000472009 5293 4958
0.92957 0.000472009 4958 4623
0.930042 0.000472009 4623 4288
0.931458 0.00141597 4288 3953
0.93193 0.000472009 3953 3216
0.98783 0.0559008 3216 3305
0.991587 0.00375682 3305 3391
0.995854 0.00426716 3391 3475
1.04938 0.0535216 3475 3557
1.0536 0.00422883 3557 3637
1.05787 0.00426722 3637 3715
1.11139 0.0535215 3715 3792
1.11562 0.00422883 3792 3867
1.11989 0.00426722 3867 3941
1.17341 0.0535216 3941 4013
1.17717 0.00375676 4013 4084
1.18144 0.00426722 4084 4154
1.23496 0.0535215 4154 4223
1.23871 0.00375688 4223 4291
1.24298 0.00426722 4291 4357
1.2965 0.0535215 4357 4422
1.30026 0.00375688 4422 4486
1.3012 0.000944018 4486 4550
1.305 0.00379515 4550 4613
1.35852 0.0535216 4613 4675
1.36228 0.00375676 4675 4736
1.36322 0.000944018 4736 4796
1.36702 0.00379515 4796 4855
1.42054 0.0535216 4855 4914
1.42429 0.00375676 4914 4972
1.42524 0.000944018 4972 5029
1.42903 0.00379527 5029 5086
1.48586 0.0568255 5086 4288
1.48633 0.000472069 4288 3752
1.4868 0.00047195 3752 3216
1.48728 0.000472069 3216 2827
1.4906 0.0033232 2827 2461
1.49107 0.00047195 2461 1876
1.54367 0.0525968 1876 1608
1.5474 0.00373757 1608 1876
1.5474 0 1876 2029
1.60568 0.05828 2029 2170
1.66723 0.0615456 2170 2302
1.66817 0.000944018 2302 2426
1.72925 0.0610737 2426 2544
1.73019 0.000943899 2544 2656
1.79127 0.0610737 2656 2764
1.79221 0.000944018 2764 2867
1.85328 0.0610735 2867 2967
1.85423 0.000944018 2967 3063
1.91483 0.0606016 3063 3156
1.91577 0.000944018 3156 3247
1.97637 0.0606016 3247 3335
1.97732 0.000944018 3335 3421
1.97826 0.000944018 3421 3504
2.03839 0.0601296 3504 3585
2.03934 0.000943899 3585 3665
2.04028 0.000944138 3665 3743
2.10041 0.0601294 3743 3819
2.10135 0.000944138 3819 3894
2.1023 0.000943899 3894 3967
2.16243 0.0601296 3967 4039
2.16337 0.000943899 4039 4110
2.16432 0.000944138 4110 4179
2.22397 0.0596576 4179 4247
2.22492 0.000943899 4247 4314
2.22586 0.000944138 4314 4380
2.28552 0.0596576 4380 4445
2.28646 0.000943899 4445 4509
2.28741 0.000944138 4509 4572
2.28835 0.000943899 4572 4634
2.34754 0.0591857 4634 4695
2.34848 0.000943899 4695 4756
2.34942 0.000943899 4756 4816
2.40957 0.060149 4816 3752
2.41004 0.000472069 3752 3216
2.41052 0.00047183 3216 2680
2.41099 0.000472069 2680 2252
2.41197 0.000982285 2252 1608
2.53225 0.120279 1608 1072
2.5938 0.0615456 1072 1608
2.5938 0 1608 1786
2.65534 0.0615456 1786 1946
